brand_name,industry,times_advertised,linkedin_slug,domain,google_url
Fluff,Beauty,58,fluffcasualcosmetics,,https://www.google.com/search?q=Fluff%20official%20website%20Greece
Noir Et Or Boutique,Clothing / Fashion,58,,,https://www.google.com/search?q=Noir%20Et%20Or%20Boutique%20official%20website%20Greece
Eau Thermale Avène,Beauty,57,avene,,https://www.google.com/search?q=Eau%20Thermale%20Av%C3%A8ne%20official%20website%20Greece
Mustela,Baby / Personal Care Products,57,,,https://www.google.com/search?q=Mustela%20official%20website%20Greece
Stanley,Beverage Containers / Consumer Goods,57,,,https://www.google.com/search?q=Stanley%20official%20website%20Greece
Ask Ioannina,Content Creation / Media,57,,,https://www.google.com/search?q=Ask%20Ioannina%20official%20website%20Greece
Oysho,Apparel,56,,,https://www.google.com/search?q=Oysho%20official%20website%20Greece
Barkibu,Business,56,,,https://www.google.com/search?q=Barkibu%20official%20website%20Greece
Cook at Home,Cooking / Food,56,,,https://www.google.com/search?q=Cook%20at%20Home%20official%20website%20Greece
Zinzino,Dietary Supplements,56,,,https://www.google.com/search?q=Zinzino%20official%20website%20Greece
Flawless Beauty Bar,Beauty,56,,,https://www.google.com/search?q=Flawless%20Beauty%20Bar%20official%20website%20Greece
Paliria,Food,56,,,https://www.google.com/search?q=Paliria%20official%20website%20Greece
ZF Garage,Automotive,55,,,https://www.google.com/search?q=ZF%20Garage%20official%20website%20Greece
Grill Philosophy,Cooking,55,,,https://www.google.com/search?q=Grill%20Philosophy%20official%20website%20Greece
Stradivarius,Apparel & Fashion,55,,,https://www.google.com/search?q=Stradivarius%20official%20website%20Greece
Domino's Pizza,Food,55,,,https://www.google.com/search?q=Domino%27s%20Pizza%20official%20website%20Greece
Schwarzkopf Professional,Hair Care,55,,,https://www.google.com/search?q=Schwarzkopf%20Professional%20official%20website%20Greece
Fashion Nova,Fashion,55,,,https://www.google.com/search?q=Fashion%20Nova%20official%20website%20Greece
Drunk Elephant,Beauty,54,drunk-elephant-llc,,https://www.google.com/search?q=Drunk%20Elephant%20official%20website%20Greece
Suggarskin,Beauty,54,,,https://www.google.com/search?q=Suggarskin%20official%20website%20Greece
snobaria,Beauty,54,,,https://www.google.com/search?q=snobaria%20official%20website%20Greece
Burberry,Beauty,54,burberry,,https://www.google.com/search?q=Burberry%20official%20website%20Greece
Unboxholics,Entertainment,54,,,https://www.google.com/search?q=Unboxholics%20official%20website%20Greece
MyNutriPlan,Nutrition,54,,,https://www.google.com/search?q=MyNutriPlan%20official%20website%20Greece
Fairy,Cleaning / Household,54,,,https://www.google.com/search?q=Fairy%20official%20website%20Greece
Princessa Store,Fashion,54,,,https://www.google.com/search?q=Princessa%20Store%20official%20website%20Greece
Byoma,Beauty,54,byoma,,https://www.google.com/search?q=Byoma%20official%20website%20Greece
MIGATO,Fashion,54,,,https://www.google.com/search?q=MIGATO%20official%20website%20Greece
Kallist Cosmetics,Beauty,54,,,https://www.google.com/search?q=Kallist%20Cosmetics%20official%20website%20Greece
Mobilfox,Consumer Electronics Accessories,54,,,https://www.google.com/search?q=Mobilfox%20official%20website%20Greece
Leroy Merlin,DIY (Do It Yourself),54,,,https://www.google.com/search?q=Leroy%20Merlin%20official%20website%20Greece
Levi's,Apparel,54,,,https://www.google.com/search?q=Levi%27s%20official%20website%20Greece
Forever Living Products,Health,54,,,https://www.google.com/search?q=Forever%20Living%20Products%20official%20website%20Greece
GIGABYTE,Technology,54,,,https://www.google.com/search?q=GIGABYTE%20official%20website%20Greece
Open TV,Technology,53,,,https://www.google.com/search?q=Open%20TV%20official%20website%20Greece
DJI,Audio Equipment,53,,,https://www.google.com/search?q=DJI%20official%20website%20Greece
Batiste,Beauty,53,batiste,,https://www.google.com/search?q=Batiste%20official%20website%20Greece
Deluxe,Food,53,,,https://www.google.com/search?q=Deluxe%20official%20website%20Greece
